SYMBOL,AVG_DELIV_QTY,NEW_DELIV_QTY,PCT_DEVIATION
SADBHIN,133359.27,64834,-51.38
SAKHTISUG,53976.45,25796,-52.21
SALONA,9318.0,975,-89.54
SALZERELEC,28516.6,62165,118.0
SAMHI,763096.8,1481531,94.15
SAMMAANCAP,7769412.7,3766839,-51.52
SAMPANN,132912.2,50045,-62.35
SANATHAN,47966.0,249391,419.93
SANDESH,688.0,176,-74.42
SANDHAR,46296.6,74273,60.43
SANOFICONR,3473.6,1013,-70.84
SAPPHIRE,230095.6,99465,-56.77
SAREGAMA,147074.5,46297,-68.52
SARVESHWAR,2532520.7,988834,-60.95
SBFC,1142461.7,1818151,59.14
SBIBPB,14261.5,5307,-62.79
